연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상,총합
2010,10대(남),1672,89,5,0,0,0,0,1766
2010,10대(여),105,7,0,0,0,0,0,112
2010,20대(남),39069,10670,2643,507,107,14,10,53020
2010,20대(여),5078,667,102,18,3,0,0,5868
2010,30대(남),45751,23993,9041,2669,756,186,73,82469
2010,30대(여),7582,1816,411,84,17,2,0,9912
2010,40대(남),41978,24773,10817,3816,1283,399,205,83271
2010,40대(여),7236,2195,617,137,30,5,0,10220
2010,50대(남),20522,12015,5353,2091,782,257,164,41184
2010,50대(여),1618,552,167,43,12,1,2,2395
2010,60대(남),5066,2276,859,318,118,38,21,8696
2010,60대(여),94,32,9,2,1,0,1,139
2010,70대 이상(남),830,229,78,20,9,1,0,1167
2010,70대 이상(여),1,0,0,0,0,0,0,1
2010,불상,2484,0,1,0,0,0,2,2487
2011,10대(남),1490,63,7,2,1,0,0,1563
2011,10대(여),105,2,0,0,0,0,0,107
2011,20대(남),32719,8242,1963,425,108,14,5,43476
2011,20대(여),4002,446,69,9,3,0,0,4529
2011,30대(남),39475,20559,7671,2398,704,192,72,71071
2011,30대(여),6404,1531,362,76,12,2,0,8387
2011,40대(남),35072,20679,9305,3367,1199,346,194,70162
2011,40대(여),6225,1875,541,122,33,11,3,8810
2011,50대(남),18413,10994,5170,2138,828,313,169,38025
2011,50대(여),1583,578,166,44,14,5,0,2390
2011,60대(남),4303,1970,826,310,104,43,34,7590
2011,60대(여),95,24,18,2,1,0,0,140
2011,70대 이상(남),800,232,74,31,9,3,4,1153
2011,70대 이상(여),3,0,0,0,0,0,0,3
2011,불상,799,0,0,1,1,0,6,807
2012,10대(남),1530,79,1,0,2,1,0,1613
2012,10대(여),105,3,0,0,0,0,0,108
2012,20대(남),30839,7377,1718,350,88,22,4,40398
2012,20대(여),3684,452,56,6,1,0,0,4199
2012,30대(남),37343,19320,7462,2417,757,223,74,67596
2012,30대(여),6110,1437,329,74,18,2,0,7970
2012,40대(남),32730,19316,8878,3444,1248,419,195,66230
2012,40대(여),6138,1853,550,127,27,10,0,8705
2012,50대(남),17491,11085,5328,2230,875,344,209,37562
2012,50대(여),1731,608,203,53,10,5,0,2610
2012,60대(남),4163,2120,975,360,138,55,33,7844
2012,60대(여),97,47,16,4,0,0,0,164
2012,70대 이상(남),834,292,90,29,15,4,3,1267
2012,70대 이상(여),5,1,1,0,0,0,0,7
2012,불상,3,0,0,0,0,0,7,10
2013,10대(남),1489,75,3,0,1,0,0,1568
2013,10대(여),84,3,0,0,0,0,0,87
2013,20대(남),32261,7246,1698,330,63,14,4,41616
2013,20대(여),3932,417,66,6,0,1,0,4422
2013,30대(남),41104,20910,8314,2670,825,249,108,74180
2013,30대(여),6855,1573,379,89,18,8,0,8922
2013,40대(남),34049,21244,9942,3800,1438,502,234,71209
2013,40대(여),6881,2084,617,163,38,9,3,9795
2013,50대(남),19800,12656,6345,2754,1126,429,313,43423
2013,50대(여),2069,742,272,77,15,4,2,3181
2013,60대(남),4421,2462,1102,441,176,62,51,8715
2013,60대(여),129,52,18,5,1,1,0,206
2013,70대 이상(남),935,399,106,56,17,5,4,1522
2013,70대 이상(여),5,0,0,0,0,0,0,5
2013,불상,978,0,0,0,0,1,6,985
2014,10대(남),1564,75,6,0,0,0,0,1645
2014,10대(여),84,2,0,0,0,0,0,86
2014,20대(남),29616,6286,1451,253,55,18,39,37718
2014,20대(여),3485,335,51,8,1,0,0,3880
2014,30대(남),37050,18984,7841,2494,794,230,100,67493
2014,30대(여),6259,1475,360,68,13,2,4,8181
2014,40대(남),30272,19531,9703,3860,1409,528,262,65565
2014,40대(여),6775,2054,586,134,38,5,23,9615
2014,50대(남),18128,12237,6458,3001,1222,494,308,41848
2014,50대(여),2171,801,298,89,23,6,1,3389
2014,60대(남),4523,2594,1287,566,198,101,78,9347
2014,60대(여),160,53,21,8,0,0,0,242
2014,70대 이상(남),982,383,121,53,22,10,6,1577
2014,70대 이상(여),4,2,0,0,0,0,0,6
2014,불상,1184,0,0,0,0,1,8,1193
2015,10대(남),1675,109,6,1,0,0,1,1792
2015,10대(여),94,0,0,0,0,0,0,94
2015,20대(남),28602,6221,1301,273,39,8,4,36448
2015,20대(여),3429,343,42,4,1,0,0,3819
2015,30대(남),34344,17744,7303,2446,768,236,98,62939
2015,30대(여),6136,1389,327,58,19,2,0,7931
2015,40대(남),27510,18464,9309,3875,1551,563,300,61572
2015,40대(여),6449,2091,628,166,36,9,3,9382
2015,50대(남),17400,12160,6644,3173,1367,592,389,41725
2015,50대(여),2167,909,317,79,26,8,1,3507
2015,60대(남),4887,3053,1488,670,336,124,84,10642
2015,60대(여),231,77,27,6,4,0,0,345
2015,70대 이상(남),991,458,158,59,24,14,9,1713
2015,70대 이상(여),9,0,2,0,0,0,0,11
2015,불상,1172,0,0,0,0,0,8,1180
2016,10대(남),1428,104,12,3,0,0,1,1548
2016,10대(여),79,1,0,0,0,0,0,80
2016,20대(남),28039,5941,1240,200,48,13,31,35512
2016,20대(여),3134,334,45,7,0,0,0,3520
2016,30대(남),31272,16218,6769,2398,794,248,130,57829
2016,30대(여),5696,1298,341,76,14,7,1,7433
2016,40대(남),23997,16538,8716,3717,1456,575,417,55416
2016,40대(여),5845,1824,569,155,43,12,11,8459
2016,50대(남),15354,11330,6183,3112,1410,577,405,38371
2016,50대(여),2125,833,311,86,25,11,3,3394
2016,60대(남),4573,2747,1472,664,311,141,100,10008
2016,60대(여),206,88,40,8,1,0,2,345
2016,70대 이상(남),971,403,157,68,29,15,10,1653
2016,70대 이상(여),11,4,1,0,0,0,0,16
2016,불상,3006,3,0,0,0,0,6,3015
2017,10대(남),1162,83,15,3,1,0,1,1265
2017,10대(여),76,2,0,0,0,0,0,78
2017,20대(남),27127,5556,1138,221,37,17,55,34151
2017,20대(여),3217,290,36,3,2,0,0,3548
2017,30대(남),28271,13917,5737,1978,698,221,137,50959
2017,30대(여),5066,1185,240,59,16,1,0,6567
2017,40대(남),20117,14194,7696,3200,1380,525,419,47531
2017,40대(여),5318,1701,504,131,34,10,47,7745
2017,50대(남),13599,10015,5896,2797,1313,586,454,34660
2017,50대(여),2033,806,318,103,33,5,5,3303
2017,60대(남),4445,2834,1593,768,342,146,148,10276
2017,60대(여),241,116,42,10,8,3,0,420
2017,70대 이상(남),969,422,178,91,32,13,18,1723
2017,70대 이상(여),15,3,0,0,0,0,0,18
2017,불상,2929,6,3,0,0,0,5,2943
2018,10대(남),673,63,7,3,0,0,11,757
2018,10대(여),61,0,0,0,0,0,0,61
2018,20대(남),21551,4312,940,186,33,8,6,27036
2018,20대(여),2644,246,26,6,1,0,0,2923
2018,30대(남),21674,10814,4513,1495,491,161,92,39240
2018,30대(여),4101,872,195,54,7,1,2,5232
2018,40대(남),15240,10793,6008,2637,1078,419,258,36433
2018,40대(여),4242,1346,440,126,34,1,1,6190
2018,50대(남),10811,8353,4945,2443,1155,490,370,28567
2018,50대(여),1693,706,299,103,24,11,8,2844
2018,60대(남),3833,2544,1431,733,329,169,104,9143
2018,60대(여),263,120,42,17,4,3,0,449
2018,70대 이상(남),927,445,176,81,33,17,11,1690
2018,70대 이상(여),14,4,0,0,0,0,0,18
2018,불상,2441,30,3,0,0,0,3,2477
2019,10대(남),236,16,2,0,0,0,0,254
2019,10대(여),20,0,0,0,0,0,0,20
2019,20대(남),18304,3729,761,136,32,7,4,22973
2019,20대(여),2183,193,35,3,1,0,0,2415
2019,30대(남),17188,8053,3359,1173,387,148,62,30370
2019,30대(여),3211,673,141,32,3,3,1,4064
2019,40대(남),11325,8000,4531,2108,910,366,222,27462
2019,40대(여),3177,1055,300,96,26,4,3,4661
2019,50대(남),8577,6371,3810,2002,937,417,335,22449
2019,50대(여),1491,626,226,80,24,10,5,2462
2019,60대(남),3227,2233,1278,691,334,131,155,8049
2019,60대(여),249,86,43,14,5,1,0,398
2019,70대 이상(남),820,397,200,77,37,15,11,1557
2019,70대 이상(여),17,2,1,1,0,0,0,21
2019,불상,3547,53,6,3,0,0,8,3617
2020,20대(남),15350,2997,648,146,27,1,2,19171
2020,20대(여),1928,181,18,2,0,1,0,2130
2020,30대(남),13951,6463,2707,998,352,136,57,24664
2020,30대(여),2600,553,124,29,6,3,0,3315
2020,40대(남),9755,7169,4021,2024,849,345,252,24415
2020,40대(여),2897,945,326,72,33,10,2,4285
2020,50대(남),8132,6231,3838,1987,982,489,373,22032
2020,50대(여),1516,637,257,103,32,11,4,2560
2020,60대(남),3462,2499,1603,793,413,207,186,9163
2020,60대(여),311,143,70,16,6,3,1,550
2020,70대 이상(남),854,417,216,99,34,22,17,1659
2020,70대 이상(여),16,4,1,0,0,0,0,21
2020,불상,3457,108,7,4,1,0,7,3584
2021,20대(남),15218,2674,557,112,22,6,4,18593
2021,20대(여),1951,142,14,3,1,0,0,2111
2021,30대(남),14070,6073,2215,880,279,82,49,23648
2021,30대(여),2602,522,113,25,4,2,1,3269
2021,40대(남),9783,6925,4028,1869,809,351,264,24029
2021,40대(여),2870,877,270,105,18,6,3,4149
2021,50대(남),7894,6119,3808,2041,979,461,408,21710
2021,50대(여),1517,618,258,80,27,6,4,2510
2021,60대(남),3656,2613,1682,903,434,255,218,9761
2021,60대(여),331,161,62,25,7,0,1,587
2021,70대 이상(남),800,473,247,100,54,17,22,1713
2021,70대 이상(여),15,3,2,2,0,0,0,22
2021,불상,3593,155,22,5,2,0,3,3780
